Date,Platform,CO2(t/d),SO2(t/d),H2S(t/d),CO2(t),SO2(t)
2004-09-27,Heli,50,1,0.1,,
2004-09-29,Heli,10,1,0.1,,
2004-09-30,Heli,50,1,0.1,,
2004-10-01,Heli,10,1,0.1,,
2004-10-03,Heli,50,1,0.1,,
2004-10-04,Heli,140,1,0.4,,
2004-10-07,FX,2415,115,8,2415,115
2004-10-11,FX,1222,70,4,7274,370
2004-10-13,FX,186,120,6,8682,560
2004-10-14,FX,710,148,0.1,9130,694
2004-10-20,FX,652,121,8,13216,1501
2004-10-27,Heli,1060,240,8,19208,2764
2004-11-04,FX,332,63,0.1,24776,3976
2004-11-10,Heli,,107,6,,4486
2004-11-12,Heli,981,138,,30028,4732
2004-11-20,Heli,1053,177,6,38164,5993
2004-12-17,Heli,914,221,5,64718,11370
2005-01-03,Heli,887,76,0.1,80027,13893
2005-01-24,Heli,,78,11,,15509
2005-02-08,Heli,718,70,0.3,108917,16619
2005-02-25,Heli,211,32,0.6,116814,17485
2005-03-10,Heli,149,30,0.3,119154,17888
2005-04-21,Heli,,40,0,,19347
2005-04-26,Heli,146,94,0,126086,19681
2005-05-25,Heli,325,33,0,132916,21522
2005-06-09,Heli,,50,,,22145
2005-07-13,Heli,485,40,,152760,23675
2005-07-27,Heli,594.3,51,0.1,160316,24312
2005-08-12,Heli,174,14,0.1,166462,24832
2005-08-31,Heli,198,22,0.1,169996,25174
2005-09-28,Heli,789,45,0.1,183814,26112
2005-10-18,Heli,658,53,0.3,198284,27092
2005-11-09,Heli,1353,88,0.1,220405,28643
2005-11-22,Heli,300,75,0.1,231150,29702
2006-02-15,,157,33.8,,,
2006-04-04,,,0.7,,,
2006-05-04,,16.1,,,,
2006-05-30,,158,19.6,,,
2006-06-22,,,22.5,,,
2006-07-21,,156,11.4,,,
2006-09-12,,126,34,,,
2006-10-11,,,20.7,,,
2007-03-29,,,9.6,,,
2007-05-10,,71,9.7,,,
