a: ash and/or steam
b: begin of activity
c: cracks (ice or rock)
d: dome growth
e: end of activity
l: lava
q: earthquakes (several)
r: rockfall
s: swarms
t: tremor

T00:00:00 -> no detailed time availability

UTC,activity
2004-09-23T09:00:00,s
2004-09-25T19:00:00,q
2004-09-26T00:00:00,c
2004-09-29T00:00:00,q
2004-10-01T19:02:00,a
2004-10-02T19:14:00,a
2004-10-02T19:14:00,t
2004-10-03T09:50:00,t
2004-10-03T11:30:00,et
2004-10-03T17:40:00,a
2004-10-04T16:47:00,a
2004-10-04T19:12:00,a
2004-10-05T00:40:00,a
2004-10-05T16:05:00,a
2004-10-11T00:00:00,l
2004-10-11T00:00:00,d
2004-10-15T00:00:00,ed
2004-10-15T00:00:00,d
2004-10-24T00:00:00,ed
2004-10-25T00:00:00,d
2004-12-18T00:00:00,ed
2005-01-03T00:00:00,d
2005-03-09T00:00:00,ed
2005-03-09T00:30:00,a
2005-03-19T00:00:00,d
2005-07-02T00:00:00,r
2005-07-18T00:00:00,ed
2005-07-19T00:00:00,r
2005-07-31T00:00:00,er
2005-08-06T00:00:00,d
2005-10-09T00:00:00,ed
2005-10-09T00:00:00,d
2006-04-01T00:00:00,ed
2006-12-19T00:00:00,a
2008-01-16T00:00:00,a
2008-01-16T00:00:00,q
2008-01-16T00:00:00,t
2008-07-10T00:00:00,ee
