Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
CC|AHAB|46.19479|-122.187027|2298.0|Ahab the whale(back) rider MSH|2005-02-08T00:00:00|2005-02-17T00:00:00
CC|BLIS|46.197472|-122.186569|2116.0|Blister, Mt. St. Helens (Dome sta)|2004-10-12T00:00:00|2005-02-17T00:00:00
CC|GUAC|46.2192|-122.19233|1618.3|Guacamole, crater of Mount St. Helens|2018-11-19T00:00:00|2599-12-31T23:59:59
CC|HOA|46.24178|-122.19183|1151.0|Hoala|2021-06-08T00:00:00|2599-12-31T23:59:59
CC|JRO|46.27527|-122.21826|1219.0|Johnston Ridge Observatory|2004-10-02T00:00:00|2599-12-31T23:59:59
CC|LOO|46.22375|-122.18439|1521.35|Loowit|2021-06-08T00:00:00|2599-12-31T23:59:59
CC|MAR|46.28532|-122.29667|679.27|Maratta|2021-06-17T00:00:00|2599-12-31T23:59:59
CC|MIBL|46.197319|-122.186913|2132.0|St Helens between BLIS and MIDE|2005-11-18T00:00:00|2007-12-31T00:00:00
CC|MIDE|46.19775|-122.187439|2132.0|Near old BLIS MSH|2005-02-16T00:00:00|2005-07-26T00:00:00
CC|NED|46.200249|-122.185493|2060.0|NE part of old Dome, Mt. St. Helens (Dome sta)|2004-11-20T00:00:00|2013-05-01T00:00:00
CC|NFT|46.27|-122.25611|818.16|North Fork Toutle|2021-06-08T00:00:00|2599-12-31T23:59:59
CC|NMSF|46.215371|-122.24465|1219.0|North Moraine South Fork Toutle River|2021-10-07T00:00:00|2021-11-22T00:00:00
CC|RAFT|46.195679|-122.186317|2132.0|RAFT, St Helens Crater|2005-07-28T00:00:00|2007-12-31T00:00:00
CC|REM|46.2002|-122.1855|1905.44|Rembrant, Mount St. Helens|2018-07-25T00:00:00|2599-12-31T23:59:59
CC|SEND|46.193501|-122.185432|0.0|SEND, Mt. St. Helens (Dome sta)|2005-06-30T00:00:00|2005-11-17T00:00:00
CC|SEP|46.19978|-122.190857|2114.0|September lobe, Mt. St. Helens (Dome sta)|2004-11-05T00:00:00|2599-12-31T23:59:59
